id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311406241151737857,2020-09-30 20:43:07,"Big thanks to @AndroidAuth who ranked Palm in the top 3 small Android phones on the market. #PalmPhone 

https://t.co/DBQSQsSog3",None,None,None,None,None,9,0,Twitter Web App,"San Francisco, CA","{'hashtags': [{'text': 'PalmPhone', 'indices': [92, 102]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AndroidAuth', 'name': 'Android Authority', 'id': 95438524, 'id_str': '95438524', 'indices': [14, 26]}], 'urls': [{'url': 'https://t.co/DBQSQsSog3', 'expanded_url': 'https://www.androidauthority.com/best-small-android-phones-782746/', 'display_url': 'androidauthority.com/best-small-and…', 'indices': [105, 128]}]}",5618,False,272,False,Palm,False,True,en,"Palm is a super small smartphone that has 2 cameras, the full Google Play Store, WiFi & more! Palm’s mission is to keep people connected, not consumed by tech.",False,palm,2921,False,False
2,1311385038127333378,2020-09-30 19:18:52,"@AndroidAuth ranked Palm in the top small Android list. We appreciate the love! 
#PalmPhone #LifeMode #LiveLifeEasy #Android

https://t.co/DBQSQt9ZED",None,AndroidAuth,None,95438524,95438524,0,0,Sprout Social,"San Francisco, CA","{'hashtags': [{'text': 'PalmPhone', 'indices': [81, 91]}, {'text': 'LifeMode', 'indices': [92, 101]}, {'text': 'LiveLifeEasy', 'indices': [102, 115]}, {'text': 'Android', 'indices': [116, 124]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AndroidAuth', 'name': 'Android Authority', 'id': 95438524, 'id_str': '95438524', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/DBQSQt9ZED', 'expanded_url': 'https://www.androidauthority.com/best-small-android-phones-782746/', 'display_url': 'androidauthority.com/best-small-and…', 'indices': [126, 149]}]}",5618,False,272,False,Palm,False,True,en,"Palm is a super small smartphone that has 2 cameras, the full Google Play Store, WiFi & more! Palm’s mission is to keep people connected, not consumed by tech.",False,palm,2921,False,False
3,1311335269413527553,2020-09-30 16:01:06,"ANNOUNCEMENT: Today is the last day of our partnership with @TFAMiamiDade.  We loved seeing the support from our Palm crew. We’re still looking to hit our goal of getting as many phones as possible to all of our teachers. 

https://t.co/2SQwzUjsIU",None,None,None,None,None,3,1,Sprout Social,"San Francisco, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TFAMiamiDade', 'name': 'Teach For America Miami-Dade', 'id': 2397966554, 'id_str': '2397966554', 'indices': [60, 73]}], 'urls': [{'url': 'https://t.co/2SQwzUjsIU', 'expanded_url': 'https://palm.com/blogs/post/palm-partners-with-teach-for-america-to-help-keep-teachers-connected-this-school-year', 'display_url': 'palm.com/blogs/post/pal…', 'indices': [224, 247]}]}",5618,False,272,False,Palm,False,True,en,"Palm is a super small smartphone that has 2 cameras, the full Google Play Store, WiFi & more! Palm’s mission is to keep people connected, not consumed by tech.",False,palm,2921,False,False
4,1311123636397408256,2020-09-30 02:00:09,"Many people love Palm, but especially parents, students and teachers. Here are 30 ways Palm is the best phone for this school year. 

https://t.co/8gWkQ6jNMO https://t.co/g17WheELus",None,None,None,None,None,3,0,Sprout Social,"San Francisco, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8gWkQ6jNMO', 'expanded_url': 'https://palm.com/blogs/post/30-reasons-palm-is-the-best-smartphone-for-back-to-school', 'display_url': 'palm.com/blogs/post/30-…', 'indices': [134, 157]}], 'media': [{'id': 1311123629225185282, 'id_str': '1311123629225185282', 'indices': [158, 181], 'media_url': 'http://pbs.twimg.com/media/EjIL_oCWkAI3HyV.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjIL_oCWkAI3HyV.jpg', 'url': 'https://t.co/g17WheELus', 'display_url': 'pic.twitter.com/g17WheELus', 'expanded_url': 'https://twitter.com/palm/status/1311123636397408256/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}}]}",5618,False,272,False,Palm,False,True,en,"Palm is a super small smartphone that has 2 cameras, the full Google Play Store, WiFi & more! Palm’s mission is to keep people connected, not consumed by tech.",False,palm,2921,False,False
5,1311063274390278145,2020-09-29 22:00:17,"How are you teaching healthy digital habits? We'd love to hear what works for you! 
#LifeMode #PalmCrew #LiveLifeEasy #PalmPhone

https://t.co/ckzI5IjWh8 https://t.co/WA5I2VhPN3",None,None,None,None,None,2,0,Sprout Social,"San Francisco, CA","{'hashtags': [{'text': 'LifeMode', 'indices': [84, 93]}, {'text': 'PalmCrew', 'indices': [94, 103]}, {'text': 'LiveLifeEasy', 'indices': [104, 117]}, {'text': 'PalmPhone', 'indices': [118, 128]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ckzI5IjWh8', 'expanded_url': 'https://palm.com/blogs/post/top-five-ways-parents-can-teach-healthy-digital-habits-to-kids', 'display_url': 'palm.com/blogs/post/top…', 'indices': [130, 153]}], 'media': [{'id': 1311063265645133824, 'id_str': '1311063265645133824', 'indices': [154, 177], 'media_url': 'http://pbs.twimg.com/media/EjHVGALXgAAx0vl.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjHVGALXgAAx0vl.jpg', 'url': 'https://t.co/WA5I2VhPN3', 'display_url': 'pic.twitter.com/WA5I2VhPN3', 'expanded_url': 'https://twitter.com/palm/status/1311063274390278145/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}}}]}",5618,False,272,False,Palm,False,True,en,"Palm is a super small smartphone that has 2 cameras, the full Google Play Store, WiFi & more! Palm’s mission is to keep people connected, not consumed by tech.",False,palm,2921,False,False
6,1311063274390278145,2020-09-29 22:00:17,"How are you teaching healthy digital habits? We'd love to hear what works for you! 
#LifeMode #PalmCrew #LiveLifeEasy #PalmPhone

https://t.co/ckzI5IjWh8 https://t.co/WA5I2VhPN3",None,None,None,None,None,2,0,Sprout Social,"San Francisco, CA","{'hashtags': [{'text': 'LifeMode', 'indices': [84, 93]}, {'text': 'PalmCrew', 'indices': [94, 103]}, {'text': 'LiveLifeEasy', 'indices': [104, 117]}, {'text': 'PalmPhone', 'indices': [118, 128]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ckzI5IjWh8', 'expanded_url': 'https://palm.com/blogs/post/top-five-ways-parents-can-teach-healthy-digital-habits-to-kids', 'display_url': 'palm.com/blogs/post/top…', 'indices': [130, 153]}], 'media': [{'id': 1311063265645133824, 'id_str': '1311063265645133824', 'indices': [154, 177], 'media_url': 'http://pbs.twimg.com/media/EjHVGALXgAAx0vl.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjHVGALXgAAx0vl.jpg', 'url': 'https://t.co/WA5I2VhPN3', 'display_url': 'pic.twitter.com/WA5I2VhPN3', 'expanded_url': 'https://twitter.com/palm/status/1311063274390278145/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}}}]}",5618,False,272,False,Palm,False,True,en,"Palm is a super small smartphone that has 2 cameras, the full Google Play Store, WiFi & more! Palm’s mission is to keep people connected, not consumed by tech.",False,palm,2921,False,False
7,1310972782252097543,2020-09-29 16:00:42,"Hey Palm Crew tomorrow is the last day to support a teacher, through our @TFAMiamiDade program. Send your love to a teacher today! 

https://t.co/2SQwzU1RRm https://t.co/7aezpKASyE",None,None,None,None,None,7,0,Sprout Social,"San Francisco, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TFAMiamiDade', 'name': 'Teach For America Miami-Dade', 'id': 2397966554, 'id_str': '2397966554', 'indices': [73, 86]}], 'urls': [{'url': 'https://t.co/2SQwzU1RRm', 'expanded_url': 'https://palm.com/blogs/post/palm-partners-with-teach-for-america-to-help-keep-teachers-connected-this-school-year', 'display_url': 'palm.com/blogs/post/pal…', 'indices': [133, 156]}], 'media': [{'id': 1310972772022202368, 'id_str': '1310972772022202368', 'indices': [157, 180], 'media_url': 'http://pbs.twimg.com/media/EjGCylKXsAAi7Lg.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjGCylKXsAAi7Lg.jpg', 'url': 'https://t.co/7aezpKASyE', 'display_url': 'pic.twitter.com/7aezpKASyE', 'expanded_url': 'https://twitter.com/palm/status/1310972782252097543/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 405, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 715, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1220, 'resize': 'fit'}}}]}",5618,False,272,False,Palm,False,True,en,"Palm is a super small smartphone that has 2 cameras, the full Google Play Store, WiFi & more! Palm’s mission is to keep people connected, not consumed by tech.",False,palm,2921,False,False
8,1310731090538176512,2020-09-29 00:00:18,"Got gains? Increase your battery strength even at the gym with our wireless bundle.
#PalmPhone #LifeMode #Gains #DoYouEvenLift 

https://t.co/apLgcSaGtU https://t.co/7ngvLoPa46",None,None,None,None,None,6,1,Sprout Social,"San Francisco, CA","{'hashtags': [{'text': 'PalmPhone', 'indices': [84, 94]}, {'text': 'LifeMode', 'indices': [95, 104]}, {'text': 'Gains', 'indices': [105, 111]}, {'text': 'DoYouEvenLift', 'indices': [112, 126]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/apLgcSaGtU', 'expanded_url': 'https://palm.com/products/wireless-bundle', 'display_url': 'palm.com/products/wirel…', 'indices': [129, 152]}], 'media': [{'id': 1310731086176059400, 'id_str': '1310731086176059400', 'indices': [153, 176], 'media_url': 'http://pbs.twimg.com/media/EjCm-nOWAAgJ4kn.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjCm-nOWAAgJ4kn.jpg', 'url': 'https://t.co/7ngvLoPa46', 'display_url': 'pic.twitter.com/7ngvLoPa46', 'expanded_url': 'https://twitter.com/palm/status/1310731090538176512/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1139, 'resize': 'fit'}, 'small': {'w': 680, 'h': 378, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 668, 'resize': 'fit'}}}]}",5618,False,272,False,Palm,False,True,en,"Palm is a super small smartphone that has 2 cameras, the full Google Play Store, WiFi & more! Palm’s mission is to keep people connected, not consumed by tech.",False,palm,2921,False,False
9,1310669233274187786,2020-09-28 19:54:30,"Your phone should compliment your workflow, not the other way around. #PalmPhone #LifeMode #LiveLifeEasy

https://t.co/KrKrqePGgE https://t.co/xOySLBdPSb",None,None,None,None,None,11,0,Sprout Social,"San Francisco, CA","{'hashtags': [{'text': 'PalmPhone', 'indices': [70, 80]}, {'text': 'LifeMode', 'indices': [81, 90]}, {'text': 'LiveLifeEasy', 'indices': [91, 104]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KrKrqePGgE', 'expanded_url': 'https://palm.com/blogs/post/5-tips-for-striking-a-work-home-balance-this-fall', 'display_url': 'palm.com/blogs/post/5-t…', 'indices': [106, 129]}], 'media': [{'id': 1310669228471660546, 'id_str': '1310669228471660546', 'indices': [130, 153], 'media_url': 'http://pbs.twimg.com/media/EjBuuBUWsAIvrU0.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjBuuBUWsAIvrU0.jpg', 'url': 'https://t.co/xOySLBdPSb', 'display_url': 'pic.twitter.com/xOySLBdPSb', 'expanded_url': 'https://twitter.com/palm/status/1310669233274187786/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2000, 'h': 1160, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 696, 'resize': 'fit'}, 'small': {'w': 680, 'h': 394, 'resize': 'fit'}}}]}",5618,False,272,False,Palm,False,True,en,"Palm is a super small smartphone that has 2 cameras, the full Google Play Store, WiFi & more! Palm’s mission is to keep people connected, not consumed by tech.",False,palm,2921,False,False
10,1310615709479698433,2020-09-28 16:21:49,@dojogrl Thanks for being part of our #PalmCrew Laura!,1310420728307572738,dojogrl,1310420728307572738,7524472,7524472,1,0,Twitter Web App,"San Francisco, CA","{'hashtags': [{'text': 'PalmCrew', 'indices': [38, 47]}], 'symbols': [], 'user_mentions': [{'screen_name': 'dojogrl', 'name': 'Laura Rebecca', 'id': 7524472, 'id_str': '7524472', 'indices': [0, 8]}], 'urls': []}",5618,False,272,False,Palm,False,True,en,"Palm is a super small smartphone that has 2 cameras, the full Google Play Store, WiFi & more! Palm’s mission is to keep people connected, not consumed by tech.",False,palm,2921,False,False
