id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311371474528276480,2020-09-30 18:24:58,RT @gcrump21: tw shannon is a Black idiot &amp; We The People understand that he’s a Black man that hate his own race &amp; think by supporting a l…,None,None,None,None,None,0,2,Twitter for iPhone,Toronto,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gcrump21', 'name': 'G. Crump', 'id': 43261063, 'id_str': '43261063', 'indices': [3, 12]}], 'urls': []}",1810,False,2350,False,Brian Perry,False,False,en,"A legend in my own lunch-time. Dog lover, political junkie, coffee addict, disturber of shit. All Trump trolls blocked.",False,BTP1960,69675,False,False
2,1311371440285986816,2020-09-30 18:24:50,@gcrump21 He’s a f**king moron. Good for Brianna.,1311370297543593984,gcrump21,1311370297543593984,43261063,43261063,1,0,Twitter for iPhone,Toronto,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gcrump21', 'name': 'G. Crump', 'id': 43261063, 'id_str': '43261063', 'indices': [0, 9]}], 'urls': []}",1810,False,2350,False,Brian Perry,False,False,en,"A legend in my own lunch-time. Dog lover, political junkie, coffee addict, disturber of shit. All Trump trolls blocked.",False,BTP1960,69675,False,False
3,1311371440285986816,2020-09-30 18:24:50,@gcrump21 He’s a f**king moron. Good for Brianna.,1311370297543593984,gcrump21,1311370297543593984,43261063,43261063,1,0,Twitter for iPhone,Toronto,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gcrump21', 'name': 'G. Crump', 'id': 43261063, 'id_str': '43261063', 'indices': [0, 9]}], 'urls': []}",1809,False,2350,False,Brian Perry,False,False,en,"A legend in my own lunch-time. Dog lover, political junkie, coffee addict, disturber of shit. All Trump trolls blocked.",False,BTP1960,69675,False,False
4,1311371088996298754,2020-09-30 18:23:26,"RT @zeeman4: Watching .@TWShannon on .@CNN RIGHT NOW.

what an embarrassment to the black community to have a person like TW amongst them.…",None,None,None,None,None,0,3,Twitter for iPhone,Toronto,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'zeeman4', 'name': 'Nadir Zulqernain, PhD', 'id': 44177991, 'id_str': '44177991', 'indices': [3, 11]}, {'screen_name': 'TWShannon', 'name': 'T.W. Shannon', 'id': 90429166, 'id_str': '90429166', 'indices': [23, 33]}, {'screen_name': 'CNN', 'name': 'CNN', 'id': 759251, 'id_str': '759251', 'indices': [38, 42]}], 'urls': []}",1809,False,2350,False,Brian Perry,False,False,en,"A legend in my own lunch-time. Dog lover, political junkie, coffee addict, disturber of shit. All Trump trolls blocked.",False,BTP1960,69675,False,False
5,1311369669190791168,2020-09-30 18:17:47,@wolf00eyes Exactly!,1311369516941598721,wolf00eyes,1311369516941598721,2334732548,2334732548,0,0,Twitter for iPhone,Toronto,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'wolf00eyes', 'name': 'Nicole Lynch', 'id': 2334732548, 'id_str': '2334732548', 'indices': [0, 11]}], 'urls': []}",1809,False,2350,False,Brian Perry,False,False,en,"A legend in my own lunch-time. Dog lover, political junkie, coffee addict, disturber of shit. All Trump trolls blocked.",False,BTP1960,69675,False,False
6,1311368577329573888,2020-09-30 18:13:27,"This asshole from Black Lives for Trump is a real piece of work. 

Brianna Keilar is destroying him.",None,None,None,None,None,4,0,Tweetbot for i?S,Toronto,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",1809,False,2350,False,Brian Perry,False,False,en,"A legend in my own lunch-time. Dog lover, political junkie, coffee addict, disturber of shit. All Trump trolls blocked.",False,BTP1960,69675,False,False
7,1311359610977169409,2020-09-30 17:37:49,"Sorry...we're closed ????

Americans are more desperate than ever to move Canada after last night's ‘disastrous’ presidential debate | indy100 https://t.co/W4yxwqnDOi",None,None,None,None,None,2,2,Twitter for Android,Toronto,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/W4yxwqnDOi', 'expanded_url': 'https://www.indy100.com/article/americans-move-canada-trump-biden-presidential-debate-twitter-9716361', 'display_url': 'indy100.com/article/americ…', 'indices': [141, 164]}]}",1809,False,2350,False,Brian Perry,False,False,en,"A legend in my own lunch-time. Dog lover, political junkie, coffee addict, disturber of shit. All Trump trolls blocked.",False,BTP1960,69675,False,False
8,1311358548371214336,2020-09-30 17:33:36,@ananavarro A whip and a water cannon.,1311358405819412485,ananavarro,1311358405819412485,19568591,19568591,1,0,Twitter for iPhone,Toronto,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ananavarro', 'name': 'Ana Navarro-Cárdenas', 'id': 19568591, 'id_str': '19568591', 'indices': [0, 11]}], 'urls': []}",1809,False,2350,False,Brian Perry,False,False,en,"A legend in my own lunch-time. Dog lover, political junkie, coffee addict, disturber of shit. All Trump trolls blocked.",False,BTP1960,69675,False,False
9,1311357476751716360,2020-09-30 17:29:20,#PresidentialDebate2020 https://t.co/43WPli9Eu9,None,None,None,None,None,1,0,Tweetbot for i?S,Toronto,"{'hashtags': [{'text': 'PresidentialDebate2020', 'indices': [0, 23]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311357470766510084, 'id_str': '1311357470766510084', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/media/EjLgq_qXsAQ4X9I.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjLgq_qXsAQ4X9I.jpg', 'url': 'https://t.co/43WPli9Eu9', 'display_url': 'pic.twitter.com/43WPli9Eu9', 'expanded_url': 'https://twitter.com/BTP1960/status/1311357476751716360/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1125, 'h': 930, 'resize': 'fit'}, 'small': {'w': 680, 'h': 562, 'resize': 'fit'}, 'large': {'w': 1125, 'h': 930, 'resize': 'fit'}}}]}",1809,False,2350,False,Brian Perry,False,False,und,"A legend in my own lunch-time. Dog lover, political junkie, coffee addict, disturber of shit. All Trump trolls blocked.",False,BTP1960,69675,False,False
10,1311356741238521858,2020-09-30 17:26:25,"RT @dwnews: ?????????????????????? (????????)
clus·?ter·?fuck | \ ?kl?-st?r-?f?k  \
???????????? ????????????????????????
???????????????????? ???? ??????????????????????
???????????? ??????????
: a complex…",None,None,None,None,None,0,3857,Twitter for iPhone,Toronto,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dwnews', 'name': 'DW News', 'id': 6134882, 'id_str': '6134882', 'indices': [3, 10]}], 'urls': []}",1809,False,2350,False,Brian Perry,False,False,en,"A legend in my own lunch-time. Dog lover, political junkie, coffee addict, disturber of shit. All Trump trolls blocked.",False,BTP1960,69675,False,False
