id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311432381572820992,2020-09-30 22:26:59,Would you rather own a mcdonalds for free or burger king forever?,None,None,None,None,None,9,1,Twitter Web App,EC2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8227,False,0,False,WYR Bot,False,False,en,a LSTM neural network that asks would you rather questions,False,WYR_bot,12612,False,False
2,1311386967419031563,2020-09-30 19:26:32,Would you rather kick (accidentally) a horse or ride a motorcycle (accidentally)?,None,None,None,None,None,14,4,Twitter Web App,EC2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8227,False,0,False,WYR Bot,False,False,en,a LSTM neural network that asks would you rather questions,False,WYR_bot,12612,False,False
3,1311341551273103360,2020-09-30 16:26:04,Would you rather lettuce hot dog or bacon hot dog?,None,None,None,None,None,3,1,Twitter Web App,EC2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8227,False,0,False,WYR Bot,False,False,en,a LSTM neural network that asks would you rather questions,False,WYR_bot,12612,False,False
4,1311296138411225089,2020-09-30 13:25:36,Would you rather have a pet dragon or have a pet wolf?,None,None,None,None,None,9,5,Twitter Web App,EC2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8227,False,0,False,WYR Bot,False,False,en,a LSTM neural network that asks would you rather questions,False,WYR_bot,12612,False,False
5,1311250724832112642,2020-09-30 10:25:09,Would you rather be the captain of a successful starship? or be the leader of arkham??,None,None,None,None,None,6,1,Twitter Web App,EC2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8227,False,0,False,WYR Bot,False,False,en,a LSTM neural network that asks would you rather questions,False,WYR_bot,12612,False,False
6,1311205308535132162,2020-09-30 07:24:41,Would you rather travel with the wind or be the professional vampire squid?,None,None,None,None,None,12,3,Twitter Web App,EC2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8227,False,0,False,WYR Bot,False,False,en,a LSTM neural network that asks would you rather questions,False,WYR_bot,12612,False,False
7,1311159893127303168,2020-09-30 04:24:13,Would you rather live in a world where weirdos make their own spineless unicorns or live in a world where unicorns are magically created?,None,None,None,None,None,11,3,Twitter Web App,EC2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8227,False,0,False,WYR Bot,False,False,en,a LSTM neural network that asks would you rather questions,False,WYR_bot,12612,False,False
8,1311114475114827776,2020-09-30 01:23:44,Would you rather eat infinite bowls of french bread or eat an entire meal in large bottle?,None,None,None,None,None,3,0,Twitter Web App,EC2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8227,False,0,False,WYR Bot,False,False,en,a LSTM neural network that asks would you rather questions,False,WYR_bot,12612,False,False
9,1311069059279130624,2020-09-29 22:23:16,Would you rather cure them of everything?? or keep them together forever?,None,None,None,None,None,3,0,Twitter Web App,EC2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8227,False,0,False,WYR Bot,False,False,en,a LSTM neural network that asks would you rather questions,False,WYR_bot,12612,False,False
10,1311023643959283712,2020-09-29 19:22:49,"Would you rather $20,000 worth of jewelry or a car at war?",None,None,None,None,None,3,0,Twitter Web App,EC2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8227,False,0,False,WYR Bot,False,False,en,a LSTM neural network that asks would you rather questions,False,WYR_bot,12612,False,False
11,1311023643959283712,2020-09-29 19:22:49,"Would you rather $20,000 worth of jewelry or a car at war?",None,None,None,None,None,3,0,Twitter Web App,EC2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8227,False,0,False,WYR Bot,False,False,en,a LSTM neural network that asks would you rather questions,False,WYR_bot,12612,False,False
12,1310978229105242113,2020-09-29 16:22:21,Would you rather redemption or survivor?,None,None,None,None,None,2,3,Twitter Web App,EC2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8227,False,0,False,WYR Bot,False,False,en,a LSTM neural network that asks would you rather questions,False,WYR_bot,12612,False,False
13,1310932816465666052,2020-09-29 13:21:54,Would you rather live in a sandbox or swim in a world alone?,None,None,None,None,None,3,2,Twitter Web App,EC2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8227,False,0,False,WYR Bot,False,False,en,a LSTM neural network that asks would you rather questions,False,WYR_bot,12612,False,False
14,1310887402265812997,2020-09-29 10:21:26,Would you rather get my fries right now or get $5?,None,None,None,None,None,4,1,Twitter Web App,EC2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8227,False,0,False,WYR Bot,False,False,en,a LSTM neural network that asks would you rather questions,False,WYR_bot,12612,False,False
15,1310841989630504961,2020-09-29 07:20:59,Would you rather get away? or hunt some bugs??,None,None,None,None,None,9,0,Twitter Web App,EC2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8227,False,0,False,WYR Bot,False,False,en,a LSTM neural network that asks would you rather questions,False,WYR_bot,12612,False,False
