id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311440986896240640,2020-09-30 23:01:11,"I'm a 32 year old, non-college-educated, white man from NE.

I'm a liberal Democrat who supports the Clean Air Act, always supports abortion, supports the ACA, and opposes concealed-carry. 
                    
I voted Hillary Clinton in 2016.",None,None,None,None,None,2,0,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
2,1311425890904150018,2020-09-30 22:01:12,"I'm a 30 year old, non-college-educated, white woman from WI.

I'm a moderate Democrat who supports concealed-carry, opposes deporting illegal immigrants, supports the Clean Air Act, and always supports abortion. 
                    
I voted Hillary Clinton in 2016.",None,None,None,None,None,1,1,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
3,1311410790239535110,2020-09-30 21:01:11,"I'm a 27 year old, non-college-educated, Hispanic woman from NJ.

I'm a conservative Republican who supports the Clean Air Act, supports deporting illegal immigrants, sometimes opposes abortion, and opposes the ACA. 
                    
I didn't vote in 2016.",None,None,None,None,None,0,0,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
4,1311395689839161344,2020-09-30 20:01:11,"I'm a 54 year old, college-educated, white woman from GA.

I'm a conservative Republican who supports deporting illegal immigrants, sometimes opposes abortion, supports concealed-carry, and opposes raising the min. wage. 
                    
I voted Donald Trump in 2016.",None,None,None,None,None,2,1,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
5,1311380589606506496,2020-09-30 19:01:11,"I'm a 22 year old, non-college-educated, white woman from PA.

I'm a liberal Democrat who always supports abortion, opposes concealed-carry, supports mandatory minimums, and supports the ACA. 
                    
I voted Hillary Clinton in 2016.",None,None,None,None,None,0,0,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
6,1311365493647904771,2020-09-30 18:01:12,"I'm a 55 year old, non-college-educated, black man from FL.

I'm a moderate Democrat who opposes concealed-carry, supports mandatory minimums, supports raising the min. wage, and sometimes opposes abortion. 
                    
I didn't vote in 2016.",None,None,None,None,None,0,0,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
7,1311350392656101376,2020-09-30 17:01:11,"I'm a 19 year old, non-college-educated, black man from MO.

I'm a liberal Democrat who supports the ACA, opposes raising the min. wage, opposes the Clean Air Act, and opposes deporting illegal immigrants. 
                    
I voted Hillary Clinton in 2016.",None,None,None,None,None,0,0,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
8,1311335330017153030,2020-09-30 16:01:20,"I'm a 25 year old, non-college-educated, Hispanic man from TX.

I'm a moderate Democrat who opposes mandatory minimums, supports the ACA, always supports abortion, and supports raising the min. wage. 
                    
I voted another candidate in 2016.",None,None,None,None,None,0,0,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
9,1311320190806827008,2020-09-30 15:01:11,"I'm a 27 year old, non-college-educated, black woman from NC.

I'm a very liberal Democrat who supports raising the min. wage, supports the ACA, supports concealed-carry, and opposes deporting illegal immigrants. 
                    
I voted Hillary Clinton in 2016.",None,None,None,None,None,2,0,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
10,1311078601434058754,2020-09-29 23:01:11,"I'm a 35 year old, non-college-educated, white man from FL.

I'm a moderate Republican who supports mandatory minimums, opposes concealed-carry, supports deporting illegal immigrants, and always supports abortion. 
                    
I didn't vote in 2016.",None,None,None,None,None,1,0,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
11,1311078601434058754,2020-09-29 23:01:11,"I'm a 35 year old, non-college-educated, white man from FL.

I'm a moderate Republican who supports mandatory minimums, opposes concealed-carry, supports deporting illegal immigrants, and always supports abortion. 
                    
I didn't vote in 2016.",None,None,None,None,None,1,0,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
12,1311063500962304000,2020-09-29 22:01:11,"I'm a 55 year old, non-college-educated, Native American man from IN.

I'm a conservative Independent who opposes the Clean Air Act, opposes mandatory minimums, sometimes opposes abortion, and supports raising the min. wage. 
                    
I didn't vote in 2016.",None,None,None,None,None,2,0,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
13,1311048400889151488,2020-09-29 21:01:11,"I'm a 74 year old, non-college-educated, white woman from CA.

I'm a conservative Republican who supports raising the min. wage, opposes the ACA, supports the Clean Air Act, and always supports abortion. 
                    
I didn't vote in 2016.",None,None,None,None,None,0,1,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
14,1311033300522336259,2020-09-29 20:01:11,"I'm a 25 year old, college-educated, white woman from LA.

I'm a very conservative Republican who sometimes opposes abortion, opposes the ACA, opposes raising the min. wage, and supports mandatory minimums. 
                    
I voted Donald Trump in 2016.",None,None,None,None,None,0,0,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
15,1311018204479787008,2020-09-29 19:01:12,"I'm a 57 year old, non-college-educated, white man from MA.

I'm a conservative Independent who opposes raising the min. wage, sometimes opposes abortion, opposes mandatory minimums, and supports concealed-carry. 
                    
I didn't vote in 2016.",None,None,None,None,None,0,0,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
16,1311003104394043394,2020-09-29 18:01:12,"I'm a 48 year old, non-college-educated, white woman from VA.

I'm a moderate Democrat who supports the Clean Air Act, opposes mandatory minimums, supports raising the min. wage, and opposes deporting illegal immigrants. 
                    
I voted Hillary Clinton in 2016.",None,None,None,None,None,0,1,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
17,1310988004157206531,2020-09-29 17:01:11,"I'm a 51 year old, non-college-educated, black woman from NY.

I'm a moderate Democrat who opposes the ACA, opposes concealed-carry, opposes the Clean Air Act, and always supports abortion. 
                    
I didn't vote in 2016.",None,None,None,None,None,0,0,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
18,1310972946073214976,2020-09-29 16:01:21,"I'm a 77 year old, non-college-educated, white woman from OH.

I'm a very conservative Republican who opposes the ACA, opposes deporting illegal immigrants, opposes concealed-carry, and opposes the Clean Air Act. 
                    
I voted Donald Trump in 2016.",None,None,None,None,None,0,0,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
19,1310957805818589187,2020-09-29 15:01:11,"I'm a 26 year old, non-college-educated, white woman from AR.

I'm a very liberal Republican who supports the ACA, sometimes opposes abortion, supports the Clean Air Act, and opposes deporting illegal immigrants. 
                    
I didn't vote in 2016.",None,None,None,None,None,2,0,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
20,1310716213241294853,2020-09-28 23:01:11,"I'm a 34 year old, college-educated, white man from MS.

I'm a very liberal Democrat who opposes deporting illegal immigrants, supports the ACA, supports the Clean Air Act, and opposes concealed-carry. 
                    
I voted Hillary Clinton in 2016.",None,None,None,None,None,3,0,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
21,1310701112874405890,2020-09-28 22:01:11,"I'm a 59 year old, non-college-educated, white woman from VA.

I'm a liberal Republican who opposes mandatory minimums, sometimes opposes abortion, supports deporting illegal immigrants, and opposes raising the min. wage. 
                    
I voted Donald Trump in 2016.",None,None,None,None,None,0,0,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
22,1310686012532838405,2020-09-28 21:01:11,"I'm a 60 year old, non-college-educated, white woman from MO.

I'm a conservative Republican who supports deporting illegal immigrants, supports concealed-carry, opposes mandatory minimums, and sometimes opposes abortion. 
                    
I voted Donald Trump in 2016.",None,None,None,None,None,1,0,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
23,1310670916267970562,2020-09-28 20:01:12,"I'm a 64 year old, non-college-educated, white woman from AZ.

I'm a moderate Democrat who always supports abortion, opposes deporting illegal immigrants, supports raising the min. wage, and opposes concealed-carry. 
                    
I voted Hillary Clinton in 2016.",None,None,None,None,None,1,0,American Voter,United States of America,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7529,False,2,False,American Voter Bot ??,False,False,en,"Tweeting a profile of public opinion one (yes, very real) American Voter at a time. Created by @gelliottmorris & @a_agadjanian. Data: https://t.co/a3g4k8zHHL",False,American__Voter,9830,False,False
