id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311439166824120323,2020-09-30 22:53:57,"A lonely librarian is found slowly eaten to death in a vitriol tank. Suspicion falls on Nomansland’s P&amp;C association, obsessed that a busload of Daleks might threaten to destabilise Midsomer’s fragile economy.",None,None,None,None,None,37,4,Midsomer Murder Plot Generator,"Midsomer County, England","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8754,False,388,False,Midsomer Murders Bot,False,False,en,Not a Russian bot. May contain traces of nuts. Pronouns: it/its.,True,midsomerplots,10116,False,False
2,1311402276058144769,2020-09-30 20:27:21,@sweth https://t.co/8Xf60ADj7e,1311400961156538378,sweth,1311400961156538378,14813187,14813187,0,0,Twitter for iPhone,"Midsomer County, England","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sweth', 'name': 'sweth', 'id': 14813187, 'id_str': '14813187', 'indices': [0, 6]}], 'urls': [], 'media': [{'id': 1311402268462211073, 'id_str': '1311402268462211073', 'indices': [7, 30], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EjMJakFU4AEL893.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EjMJakFU4AEL893.jpg', 'url': 'https://t.co/8Xf60ADj7e', 'display_url': 'pic.twitter.com/8Xf60ADj7e', 'expanded_url': 'https://twitter.com/midsomerplots/status/1311402276058144769/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 498, 'h': 280, 'resize': 'fit'}, 'small': {'w': 498, 'h': 280, 'resize': 'fit'}, 'large': {'w': 498, 'h': 280, 'resize': 'fit'}}}]}",8754,False,388,False,Midsomer Murders Bot,False,False,und,Not a Russian bot. May contain traces of nuts. Pronouns: it/its.,True,midsomerplots,10116,False,False
3,1311397614437330945,2020-09-30 20:08:50,"An orange-hued climacophobe is found handcuffed and dragged out from a slave-built mansion. Thanks falls to voters who took a good look at the state of the union, and the world, and did the right thing.

Make it happen, America.",None,None,None,None,None,522,100,Twitter for iPhone,"Midsomer County, England","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8754,False,388,False,Midsomer Murders Bot,False,False,en,Not a Russian bot. May contain traces of nuts. Pronouns: it/its.,True,midsomerplots,10116,False,False
4,1311378773028282369,2020-09-30 18:53:58,"A vestiphobic tailor is found efficiently harvested by a combine harvester. Suspicion falls on Fletcher’s Cross’ dowager, worried that train station closures might threaten the medieval false teeth society.",None,None,None,None,None,15,1,Midsomer Murder Plot Generator,"Midsomer County, England","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8754,False,388,False,Midsomer Murders Bot,False,False,en,Not a Russian bot. May contain traces of nuts. Pronouns: it/its.,True,midsomerplots,10116,False,False
5,1311318371510685696,2020-09-30 14:53:57,"A mesmerising misanthrope is found crushed under a stack of dictionaries. Suspicion falls on Midsomer Holm’s discordant barber-shop quartet, frightened that private broadcaster bias might threaten the Tower of London ravens.",None,None,None,None,None,12,0,Midsomer Murder Plot Generator,"Midsomer County, England","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8754,False,388,False,Midsomer Murders Bot,False,False,en,Not a Russian bot. May contain traces of nuts. Pronouns: it/its.,True,midsomerplots,10116,False,False
6,1311257973717692417,2020-09-30 10:53:57,"A young entrepreneur with unfathomable insight is found burnt to death in a caravan. Suspicion falls on Little Worthy’s ghost, confused that the town’s surplus steak and kidney puddings might threaten TV reception during the World Cup.",None,None,None,None,None,22,2,Midsomer Murder Plot Generator,"Midsomer County, England","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8754,False,388,False,Midsomer Murders Bot,False,False,en,Not a Russian bot. May contain traces of nuts. Pronouns: it/its.,True,midsomerplots,10116,False,False
7,1311257973717692417,2020-09-30 10:53:57,"A young entrepreneur with unfathomable insight is found burnt to death in a caravan. Suspicion falls on Little Worthy’s ghost, confused that the town’s surplus steak and kidney puddings might threaten TV reception during the World Cup.",None,None,None,None,None,22,2,Midsomer Murder Plot Generator,"Midsomer County, England","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8754,False,388,False,Midsomer Murders Bot,False,False,en,Not a Russian bot. May contain traces of nuts. Pronouns: it/its.,True,midsomerplots,10116,False,False
8,1311197576146964480,2020-09-30 06:53:57,"A barbaric hunter of caffeine and pastries is found dead following experimental eye surgery. Suspicion falls on Little Coxton’s Tae Kwon Do club, worried that a disturbingly high Gini coefficient might threaten the village’s Paintings of Fences &amp; Sheep competition.",None,None,None,None,None,14,2,Midsomer Murder Plot Generator,"Midsomer County, England","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8754,False,388,False,Midsomer Murders Bot,False,False,en,Not a Russian bot. May contain traces of nuts. Pronouns: it/its.,True,midsomerplots,10116,False,False
9,1311137177934409728,2020-09-30 02:53:57,"A local antiquarian book dealer is found poisoned by an anthrax-laced IPA. Suspicion falls on Midsomer Barrow’s political elite, worried that Lionel Blair lookalikes might threaten to reveal that up to 20% of art in British museums is fake.",None,None,None,None,None,7,4,Midsomer Murder Plot Generator,"Midsomer County, England","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8754,False,388,False,Midsomer Murders Bot,False,False,en,Not a Russian bot. May contain traces of nuts. Pronouns: it/its.,True,midsomerplots,10116,False,False
10,1311114642958106624,2020-09-30 01:24:24,"If you want to watch something that makes more sense and is more entertaining than the debate, I recommend watching Midsomer Murders instead.",None,None,None,None,None,93,12,Twitter for iPhone,"Midsomer County, England","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",8754,False,388,False,Midsomer Murders Bot,False,False,en,Not a Russian bot. May contain traces of nuts. Pronouns: it/its.,True,midsomerplots,10116,False,False
