id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1.31E+18,9/30/2020 16:00,"Discover the J12 X-RAY watch. A bracelet featuring links made entirely of sapphire crystal. A creative and technical feat designed and assembled by the CHANEL Manufacture.
Limited edition of 12 numbered pieces.
Discover on https://t.co/zH5cV1Snye #J12XRay https://t.co/JwoPXjFSm9",None,None,None,None,None,443,86,Twitter for Advertisers (legacy),,"{'hashtags': [{'text': 'J12XRay', 'indices': [247, 255]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url''expanded_url': 2.X-RAY.tt', 'display_url': 'chanel.com/-J12.X-RAY.tt', 'indices': [223, 246]}], 'media': [{'id': 1308788608833290241, 'id_str': '1308788608833290241', 'indices': [256, 279], 'media_url': s.twimg.com/media/EinBUvHXcAkieqG.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EinBUvHXcAkieqG.jpg', 'url': 'https://t.co/JwoPXjFSm9', 'display_url': 'pic.twitter.com/JwoPXjFSm9', 'expanded_url': 'https://twitter.com/CHANEL/status/1311334992325337091/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",13145553,FALSE,1,FALSE,CHANEL,FALSE,TRUE,en,"'CHANEL is above all a style. Fashion passes, style remains.' Gabrielle Chanel",TRUE,CHANEL,3168,FALSE,FALSE
2,1.31E+18,9/29/2020 16:00,"The J12 watch reveals its lines to show off the new Caliber 3.1 movement, featuring a mounting plate and bridges made of sapphire crystal, designed and assembled by the CHANEL Manufacture.
Limited edition of 12 numbered pieces.
Discover on https://t.co/zH5cV1AM9E #J12XRay https://t.co/iiLDWInLBy",None,None,None,None,None,417,77,Twitter for Advertisers (legacy),,"{'hashtags': [{'text': 'J12XRay', 'indices': [264, 272]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url 'expanded_url':com/-J12.X-RAY.tt', 'display_url': 'chanel.com/-J12.X-RAY.tt', 'indices': [240, 263]}], 'media': [{'id': 1308788645940338699, 'id_str': '1308788645940338699', 'indices': [273, 296], 'media_url': 'http://pbs.twimg.com/media/EinAVtdWoAsNepm.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EinAVtdWoAsNepm.jpg', 'url': 'https://t.co/iiLDWInLBy', 'display_url': 'pic.twitter.com/iiLDWInLBy', 'expanded_url': 'https://twitter.com/CHANEL/status/1310972612109979651/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",13145553,FALSE,1,FALSE,CHANEL,FALSE,TRUE,en,"'CHANEL is above all a style. Fashion passes, style remains.' Gabrielle Chanel",TRUE,CHANEL,3168,FALSE,FALSE
3,1.31E+18,9/28/2020 16:00,"The J12 goes transparent,
with a case, dial and bracelet made entirely of sapphire crystal. J12 X-RAY, a High Jewelry watch that reveals the new movement designed and assembled by the CHANEL Manufacture, the Caliber 3.1. Discover the J12 X-RAY on https://t.co/zH5cV1AM9E #J12XRay https://t.co/B2VVdQBhNE",None,None,None,None,None,498,90,Twitter for Advertisers (legacy),,"{'hashtags': [{'text': 'J12XRay', 'indices': [271, 279]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zH5cV1AM9E', 'expanded_url': 'http://chanel.com/-J12.X-RAY.tt', 'display_url': 'chanel.com/-J12.X-RAY.tt', 'indices': [247, 270]}], 'media': [{'id': 1308788639485308929, 'id_str': '1308788639485308929', 'indices': [280, 303], 'media_url': 'http://pbs.twimg.com/media/EinAVVaWsAEWk6F.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EinAVVaWsAEWk6F.jpg', 'url': 'https://t.co/B2VVdQBhNE', 'display_url': 'pic.twitter.com/B2VVdQBhNE', 'expanded_url': 'https://twitter.com/CHANEL/status/1310610218217168896/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}}]}",13145553,FALSE,1,FALSE,CHANEL,FALSE,TRUE,en,"'CHANEL is above all a style. Fashion passes, style remains.' Gabrielle Chanel",TRUE,CHANEL,3168,FALSE,FALSE
4,1.31E+18,9/23/2020 16:30,Alicia Keys wore an all-white leather look from the CHANEL Fall-Winter 2020/21 Ready-to-Wear collection for a surprise performance on the television show ‘Good Morning America‘ as a tribute to essential workers. Photographed by Ramon Rivas. #CHANELFallWinter #CHANEL https://t.co/vmSKQmTYI5,None,None,None,None,None,577,81,Twitter for Advertisers (legacy),,"{'hashtags': [{'text': 'CHANELFallWinter', 'indices': [241, 258]}, {'text': 'CHANEL', 'indices': [259, 266]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1308786340033634312, 'id_str': '1308786340033634312', 'indices': [267, 290], 'media_url': 'http://pbs.twimg.com/media/Eim-PfSWoAgxTqH.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eim-PfSWoAgxTqH.jpg', 'url': 'https://t.co/vmSKQmTYI5', 'display_url': 'pic.twitter.com/vmSKQmTYI5', 'expanded_url': 'https://twitter.com/CHANEL/status/1308805826971406339/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1636, 'h': 2048, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 959, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 543, 'h': 680, 'resize': 'fit'}}}]}",13145553,FALSE,1,FALSE,CHANEL,FALSE,TRUE,en,"'CHANEL is above all a style. Fashion passes, style remains.' Gabrielle Chanel",TRUE,CHANEL,3168,FALSE,FALSE
5,1.31E+18,9/17/2020 12:00,"The CHANEL suit is revisited with pure lines drawing a sleek silhouette in the Fall-Winter 2020/21 Ready-to-Wear collection, now in boutiques.
Photographed by Inez &amp; Vinoodh.
#CHANELFallWinter #CHANEL
See more on https://t.co/fNjhIOCC6I https://t.co/8bamDB93MY",None,None,None,None,None,506,88,Twitter for Advertisers (legacy),,"{'hashtags': [{'text': 'CHANELFallWinter', 'indices': [179, 196]}, {'text': 'CHANEL', 'indices': [197, 204]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fNjhIOCC6I', 'expanded_url': 'http://chanel.com/-T-RTW_FW20-21_btq', 'display_url': 'chanel.com/-T-RTW_FW20-21…', 'indices': [217, 240]}], 'media': [{'id': 1305890280130990080, 'id_str': '1305890280130990080', 'indices': [241, 264], 'media_url': 'http://pbs.twimg.com/media/Eh90SnbX0AAV_dh.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eh90SnbX0AAV_dh.jpg', 'url': 'https://t.co/8bamDB93MY', 'display_url': 'pic.twitter.com/8bamDB93MY', 'expanded_url': 'https://twitter.com/CHANEL/status/1306563555190165506/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 676, 'resize': 'fit'}, 'large': {'w': 1800, 'h': 1014, 'resize': 'fit'}}}]}",13145553,FALSE,1,FALSE,CHANEL,FALSE,TRUE,en,"'CHANEL is above all a style. Fashion passes, style remains.' Gabrielle Chanel",TRUE,CHANEL,3168,FALSE,FALSE
6,1.31E+18,9/17/2020 9:00,"The spirit of the CHANEL Fall-Winter 2020/21 Ready-to-Wear collection, free and in motion, comes with a masculine-feminine twist. Now in boutiques.
#CHANELFallWinter #CHANEL
See more on https://t.co/fNjhIOCC6I https://t.co/jUS61fofg4",None,None,None,None,None,575,81,Twitter for Advertisers (legacy),,"{'hashtags': [{'text': 'CHANELFallWinter', 'indices': [148, 165]}, {'text': 'CHANEL', 'indices': [166, 173]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fNjhIOCC6I', 'expanded_url': 'http://chanel.com/-T-RTW_FW20-21_btq', 'display_url': 'chanel.com/-T-RTW_FW20-21…', 'indices': [186, 209]}], 'media': [{'id': 1305890280147685376, 'id_str': '1305890280147685376', 'indices': [210, 233], 'media_url': 'http://pbs.twimg.com/media/Eh90SnfWkAADX1m.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eh90SnfWkAADX1m.jpg', 'url': 'https://t.co/jUS61fofg4', 'display_url': 'pic.twitter.com/jUS61fofg4', 'expanded_url': 'https://twitter.com/CHANEL/status/1306518258703454208/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1800, 'h': 1014, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 676, 'resize': 'fit'}}}]}",13145553,FALSE,1,FALSE,CHANEL,FALSE,TRUE,en,"'CHANEL is above all a style. Fashion passes, style remains.' Gabrielle Chanel",TRUE,CHANEL,3168,FALSE,FALSE
7,1.31E+18,9/16/2020 16:00,"The eternal modernity of the CHANEL allure infuses looks from the Fall-Winter 2020/21 Ready-to-Wear collection, now in boutiques.
Photographed by Inez &amp; Vinoodh.
#CHANELFallWinter #CHANEL
See more on https://t.co/fNjhIOl1fa https://t.co/RLs2aIwG3B",None,None,None,None,None,470,81,Twitter for Advertisers (legacy),,"{'hashtags': [{'text': 'CHANELFallWinter', 'indices': [166, 183]}, {'text': 'CHANEL', 'indices': [184, 191]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fNjhIOl1fa', 'expanded_url': 'http://chanel.com/-T-RTW_FW20-21_btq', 'display_url': 'chanel.com/-T-RTW_FW20-21…', 'indices': [204, 227]}], 'media': [{'id': 1305890280202219526, 'id_str': '1305890280202219526', 'indices': [228, 251], 'media_url': 'http://pbs.twimg.com/media/Eh90SnsWsAYJbtS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eh90SnsWsAYJbtS.jpg', 'url': 'https://t.co/RLs2aIwG3B', 'display_url': 'pic.twitter.com/RLs2aIwG3B', 'expanded_url': 'https://twitter.com/CHANEL/status/1306261570192920579/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1800, 'h': 1014, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 676, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",13145553,FALSE,1,FALSE,CHANEL,FALSE,TRUE,en,"'CHANEL is above all a style. Fashion passes, style remains.' Gabrielle Chanel",TRUE,CHANEL,3168,FALSE,FALSE
8,1.31E+18,9/16/2020 9:00,"“A very simple, very pure momentum. Romanticism but without any flourishes”, explains Virginie Viard about the CHANEL Fall-Winter 2020/21 collection, now in boutiques.
Photographed by Inez &amp; Vinoodh.
#CHANELFallWinter #CHANEL
See more on https://t.co/fNjhIOCC6I https://t.co/fu5kgympnl",None,None,None,None,None,528,97,Twitter for Advertisers (legacy),,"{'hashtags': [{'text': 'CHANELFallWinter', 'indices': [204, 221]}, {'text': 'CHANEL', 'indices': [222, 229]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fNjhIOCC6I', 'expanded_url': 'http://chanel.com/-T-RTW_FW20-21_btq', 'display_url': 'chanel.com/-T-RTW_FW20-21…', 'indices': [242, 265]}], 'media': [{'id': 1305890280571383812, 'id_str': '1305890280571383812', 'indices': [266, 289], 'media_url': 'http://pbs.twimg.com/media/Eh90SpEXsAQ6Uce.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eh90SpEXsAQ6Uce.jpg', 'url': 'https://t.co/fu5kgympnl', 'display_url': 'pic.twitter.com/fu5kgympnl', 'expanded_url': 'https://twitter.com/CHANEL/status/1306155871097876480/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 676, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1800, 'h': 1014, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",13145553,FALSE,1,FALSE,CHANEL,FALSE,TRUE,en,"'CHANEL is above all a style. Fashion passes, style remains.' Gabrielle Chanel",TRUE,CHANEL,3168,FALSE,FALSE
9,1.31E+18,9/15/2020 16:30,"The CHANEL Fall-Winter 2020/21 looks are defined by a freedom of movement. 
The Ready-to-Wear collection is now in boutiques.
Photographed by Inez &amp; Vinoodh.
#CHANELFallWinter #CHANEL
See more on https://t.co/fNjhIOl1fa https://t.co/2K9D4fV4Jh",None,None,None,None,None,443,65,Twitter for Advertisers (legacy),,"{'hashtags': [{'text': 'CHANELFallWinter', 'indices': [162, 179]}, {'text': 'CHANEL', 'indices': [180, 187]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fNjhIOl1fa', 'expanded_url': 'http://chanel.com/-T-RTW_FW20-21_btq', 'display_url': 'chanel.com/-T-RTW_FW20-21…', 'indices': [200, 223]}], 'media': [{'id': 1305890288158879744, 'id_str': '1305890288158879744', 'indices': [224, 247], 'media_url': 'http://pbs.twimg.com/media/Eh90TFVXsAABCoq.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eh90TFVXsAABCoq.jpg', 'url': 'https://t.co/2K9D4fV4Jh', 'display_url': 'pic.twitter.com/2K9D4fV4Jh', 'expanded_url': 'https://twitter.com/CHANEL/status/1305906725338349568/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1800, 'h': 1014, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 676, 'resize': 'fit'}}}]}",13145553,FALSE,1,FALSE,CHANEL,FALSE,TRUE,en,"'CHANEL is above all a style. Fashion passes, style remains.' Gabrielle Chanel",TRUE,CHANEL,3168,FALSE,FALSE
10,1.31E+18,9/15/2020 15:25,"Feminine finishes outline the CHANEL Fall-Winter 2020/21 Ready-to-Wear collection silhouettes imagined by Virginie Viard, now in boutiques.
Photographed by Inez &amp; Vinoodh.
#CHANELFallWinter #CHANEL
See more on https://t.co/fNjhIOl1fa https://t.co/vVbXBfmSoR",None,None,None,None,None,500,75,Twitter for Advertisers (legacy),,"{'hashtags': [{'text': 'CHANELFallWinter', 'indices': [176, 193]}, {'text': 'CHANEL', 'indices': [194, 201]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fNjhIOl1fa', 'expanded_url': 'http://chanel.com/-T-RTW_FW20-21_btq', 'display_url': 'chanel.com/-T-RTW_FW20-21…', 'indices': [214, 237]}], 'media': [{'id': 1305890288515330051, 'id_str': '1305890288515330051', 'indices': [238, 261], 'media_url': 'http://pbs.twimg.com/media/Eh90TGqWsAM2Z9l.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eh90TGqWsAM2Z9l.jpg', 'url': 'https://t.co/vVbXBfmSoR', 'display_url': 'pic.twitter.com/vVbXBfmSoR', 'expanded_url': 'https://twitter.com/CHANEL/status/1305890476990648321/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 676, 'resize': 'fit'}, 'large': {'w': 1800, 'h': 1014, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",13145553,FALSE,1,FALSE,CHANEL,FALSE,TRUE,en,"'CHANEL is above all a style. Fashion passes, style remains.' Gabrielle Chanel",TRUE,CHANEL,3168,FALSE,FALSE
