id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311395390214696961,2020-09-30 20:00:00,"Revealing their characters in a shoot for #GucciTailoring in a Californian home, @asvpxrocky, @tylerthecreator and @iggypop wear the collection designed by #AlessandroMichele and accessories, including the #GucciHorsebit1955. https://t.co/aC7y6v8DDX",None,None,None,None,None,338,53,TweetDeck,"Florence, Italy","{'hashtags': [{'text': 'GucciTailoring', 'indices': [42, 57]}, {'text': 'AlessandroMichele', 'indices': [156, 174]}, {'text': 'GucciHorsebit1955', 'indices': [206, 224]}], 'symbols': [], 'user_mentions': [{'screen_name': 'asvpxrocky', 'name': 'LORD FLACKO JODYE II', 'id': 50184013, 'id_str': '50184013', 'indices': [81, 92]}, {'screen_name': 'tylerthecreator', 'name': 'Tyler, The Creator', 'id': 166747718, 'id_str': '166747718', 'indices': [94, 110]}, {'screen_name': 'IggyPop', 'name': 'Iggy Pop', 'id': 403991138, 'id_str': '403991138', 'indices': [115, 123]}], 'urls': [], 'media': [{'id': 1310897866077089793, 'id_str': '1310897866077089793', 'indices': [226, 249], 'media_url': 'http://pbs.twimg.com/media/EjE-qexXsAE6fCj.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjE-qexXsAE6fCj.jpg', 'url': 'https://t.co/aC7y6v8DDX', 'display_url': 'pic.twitter.com/aC7y6v8DDX', 'expanded_url': 'https://twitter.com/gucci/status/1311395390214696961/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1638, 'h': 1638, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}}]}",6016387,False,360,False,gucci,False,True,en,Under the creative direction of #AlessandroMichele Gucci is redefined as a luxury brand with a contemporary approach to fashion.,True,gucci,10199,False,False
2,1311335000772472832,2020-09-30 16:00:02,"Presenting the #GucciTailoring campaign, with @asvpxrocky, @tylerthecreator and @iggypop wearing pieces #AlessandroMichele designed including double-breasted suits, and fabrics featuring jacquard House logos. https://t.co/XhUZVjBZN8",None,None,None,None,None,384,66,TweetDeck,"Florence, Italy","{'hashtags': [{'text': 'GucciTailoring', 'indices': [15, 30]}, {'text': 'AlessandroMichele', 'indices': [104, 122]}], 'symbols': [], 'user_mentions': [{'screen_name': 'asvpxrocky', 'name': 'LORD FLACKO JODYE II', 'id': 50184013, 'id_str': '50184013', 'indices': [46, 57]}, {'screen_name': 'tylerthecreator', 'name': 'Tyler, The Creator', 'id': 166747718, 'id_str': '166747718', 'indices': [59, 75]}, {'screen_name': 'IggyPop', 'name': 'Iggy Pop', 'id': 403991138, 'id_str': '403991138', 'indices': [80, 88]}], 'urls': [], 'media': [{'id': 1310897313234251778, 'id_str': '1310897313234251778', 'indices': [209, 232], 'media_url': 'http://pbs.twimg.com/media/EjE-KTRXcAIfk9E.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjE-KTRXcAIfk9E.jpg', 'url': 'https://t.co/XhUZVjBZN8', 'display_url': 'pic.twitter.com/XhUZVjBZN8', 'expanded_url': 'https://twitter.com/gucci/status/1311335000772472832/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1638, 'h': 1638, 'resize': 'fit'}}}]}",6016387,False,360,False,gucci,False,True,en,Under the creative direction of #AlessandroMichele Gucci is redefined as a luxury brand with a contemporary approach to fashion.,True,gucci,10199,False,False
3,1311274597602398210,2020-09-30 12:00:01,"Men in suits in the lounge of a West Coast home, presenting @asvpxrocky, @tylerthecreator and @iggypop in the new #GucciTailoring campaign. Wearing tailoring designed by #AlessandroMichele. https://t.co/sk4hCg16H6",None,None,None,None,None,6412,650,TweetDeck,"Florence, Italy","{'hashtags': [{'text': 'GucciTailoring', 'indices': [114, 129]}, {'text': 'AlessandroMichele', 'indices': [170, 188]}], 'symbols': [], 'user_mentions': [{'screen_name': 'asvpxrocky', 'name': 'LORD FLACKO JODYE II', 'id': 50184013, 'id_str': '50184013', 'indices': [60, 71]}, {'screen_name': 'tylerthecreator', 'name': 'Tyler, The Creator', 'id': 166747718, 'id_str': '166747718', 'indices': [73, 89]}, {'screen_name': 'IggyPop', 'name': 'Iggy Pop', 'id': 403991138, 'id_str': '403991138', 'indices': [94, 102]}], 'urls': [], 'media': [{'id': 1310896654699159552, 'id_str': '1310896654699159552', 'indices': [190, 213], 'media_url': 'http://pbs.twimg.com/media/EjE9j-CXYAArBE4.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjE9j-CXYAArBE4.jpg', 'url': 'https://t.co/sk4hCg16H6', 'display_url': 'pic.twitter.com/sk4hCg16H6', 'expanded_url': 'https://twitter.com/gucci/status/1311274597602398210/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1638, 'h': 1638, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}}}]}",6016387,False,360,False,gucci,False,True,en,Under the creative direction of #AlessandroMichele Gucci is redefined as a luxury brand with a contemporary approach to fashion.,True,gucci,10199,False,False
4,1311033002974040065,2020-09-29 20:00:00,"The #GucciTailoring collection features tailored pieces with distinct House patterns, knits and colourful accessories, the looks are captured in images by #HarmonyKorine with @asvpxrocky, @tylerthecreator and @iggypop. https://t.co/Ai8CcbJGm4",None,None,None,None,None,384,60,TweetDeck,"Florence, Italy","{'hashtags': [{'text': 'GucciTailoring', 'indices': [4, 19]}, {'text': 'HarmonyKorine', 'indices': [155, 169]}], 'symbols': [], 'user_mentions': [{'screen_name': 'asvpxrocky', 'name': 'LORD FLACKO JODYE II', 'id': 50184013, 'id_str': '50184013', 'indices': [175, 186]}, {'screen_name': 'tylerthecreator', 'name': 'Tyler, The Creator', 'id': 166747718, 'id_str': '166747718', 'indices': [188, 204]}, {'screen_name': 'IggyPop', 'name': 'Iggy Pop', 'id': 403991138, 'id_str': '403991138', 'indices': [209, 217]}], 'urls': [], 'media': [{'id': 1310895771752058880, 'id_str': '1310895771752058880', 'indices': [219, 242], 'media_url': 'http://pbs.twimg.com/media/EjE8wkzX0AAtdVE.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjE8wkzX0AAtdVE.jpg', 'url': 'https://t.co/Ai8CcbJGm4', 'display_url': 'pic.twitter.com/Ai8CcbJGm4', 'expanded_url': 'https://twitter.com/gucci/status/1311033002974040065/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1638, 'h': 1638, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}}]}",6016387,False,360,False,gucci,False,True,en,Under the creative direction of #AlessandroMichele Gucci is redefined as a luxury brand with a contemporary approach to fashion.,True,gucci,10199,False,False
5,1310972610646212608,2020-09-29 16:00:01,"Three artists with distinctive style are in a Californian home wearing #GucciTailoring for the new campaign: @asvpxrocky, @tylerthecreator, and @iggypop, with his parrot Biggy Pop. https://t.co/1T08qpkcZX",None,None,None,None,None,1452,456,TweetDeck,"Florence, Italy","{'hashtags': [{'text': 'GucciTailoring', 'indices': [71, 86]}], 'symbols': [], 'user_mentions': [{'screen_name': 'asvpxrocky', 'name': 'LORD FLACKO JODYE II', 'id': 50184013, 'id_str': '50184013', 'indices': [109, 120]}, {'screen_name': 'tylerthecreator', 'name': 'Tyler, The Creator', 'id': 166747718, 'id_str': '166747718', 'indices': [122, 138]}, {'screen_name': 'IggyPop', 'name': 'Iggy Pop', 'id': 403991138, 'id_str': '403991138', 'indices': [144, 152]}], 'urls': [], 'media': [{'id': 1310894587603492864, 'id_str': '1310894587603492864', 'indices': [181, 204], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1310894587603492864/pu/img/oipeXrNzAQCIc3Ty.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1310894587603492864/pu/img/oipeXrNzAQCIc3Ty.jpg', 'url': 'https://t.co/1T08qpkcZX', 'display_url': 'pic.twitter.com/1T08qpkcZX', 'expanded_url': 'https://twitter.com/gucci/status/1310972610646212608/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",6016387,False,360,False,gucci,False,True,en,Under the creative direction of #AlessandroMichele Gucci is redefined as a luxury brand with a contemporary approach to fashion.,True,gucci,10199,False,False
6,1310947722778882049,2020-09-29 14:21:07,"RT @UNEP: We're thrilled to welcome @massimobottura as UNEP Goodwill Ambassador!

Massimo has been recognized as a social entrepreneur for…",None,None,None,None,None,0,65,Twitter Web App,"Florence, Italy","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'UNEP', 'name': 'UN Environment Programme', 'id': 38146999, 'id_str': '38146999', 'indices': [3, 8]}, {'screen_name': 'massimobottura', 'name': 'massimobottura', 'id': 323154299, 'id_str': '323154299', 'indices': [36, 51]}], 'urls': []}",6016387,False,360,False,gucci,False,True,en,Under the creative direction of #AlessandroMichele Gucci is redefined as a luxury brand with a contemporary approach to fashion.,True,gucci,10199,False,False
7,1310891739608166400,2020-09-29 10:38:40,"Rock stars at home, captured by #HarmonyKorine in February for the new #GucciTailoring campaign with @asvpxrocky, @tylerthecreator and @iggypop. https://t.co/vkDaMmlTgY",None,None,None,None,None,1515,293,TweetDeck,"Florence, Italy","{'hashtags': [{'text': 'HarmonyKorine', 'indices': [32, 46]}, {'text': 'GucciTailoring', 'indices': [71, 86]}], 'symbols': [], 'user_mentions': [{'screen_name': 'asvpxrocky', 'name': 'LORD FLACKO JODYE II', 'id': 50184013, 'id_str': '50184013', 'indices': [101, 112]}, {'screen_name': 'tylerthecreator', 'name': 'Tyler, The Creator', 'id': 166747718, 'id_str': '166747718', 'indices': [114, 130]}, {'screen_name': 'IggyPop', 'name': 'Iggy Pop', 'id': 403991138, 'id_str': '403991138', 'indices': [135, 143]}], 'urls': [], 'media': [{'id': 1310891648315019264, 'id_str': '1310891648315019264', 'indices': [145, 168], 'media_url': 'http://pbs.twimg.com/media/EjE5AjzX0AAoiVd.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjE5AjzX0AAoiVd.jpg', 'url': 'https://t.co/vkDaMmlTgY', 'display_url': 'pic.twitter.com/vkDaMmlTgY', 'expanded_url': 'https://twitter.com/gucci/status/1310891739608166400/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1638, 'h': 1638, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}}]}",6016387,False,360,False,gucci,False,True,en,Under the creative direction of #AlessandroMichele Gucci is redefined as a luxury brand with a contemporary approach to fashion.,True,gucci,10199,False,False
8,1310610221782495235,2020-09-28 16:00:01,A self-portrait by #Kamil for #GucciTheRitual feature key pieces from the new collection including new leather loafers with tassels and the Web stripe. Discover more https://t.co/lKZQUlBPVZ. #AlessandroMichele https://t.co/4HWby3HaaO,None,None,None,None,None,275,31,TweetDeck,"Florence, Italy","{'hashtags': [{'text': 'Kamil', 'indices': [19, 25]}, {'text': 'GucciTheRitual', 'indices': [30, 45]}, {'text': 'AlessandroMichele', 'indices': [191, 209]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/lKZQUlBPVZ', 'expanded_url': 'http://on.gucci.com/_GucciFW20', 'display_url': 'on.gucci.com/_GucciFW20', 'indices': [166, 189]}], 'media': [{'id': 1310512784376033282, 'id_str': '1310512784376033282', 'indices': [210, 233], 'media_url': 'http://pbs.twimg.com/media/Ei_gbxpXcAIwe2H.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei_gbxpXcAIwe2H.jpg', 'url': 'https://t.co/4HWby3HaaO', 'display_url': 'pic.twitter.com/4HWby3HaaO', 'expanded_url': 'https://twitter.com/gucci/status/1310610221782495235/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1638, 'h': 1638, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}}}]}",6016387,False,360,False,gucci,False,True,en,Under the creative direction of #AlessandroMichele Gucci is redefined as a luxury brand with a contemporary approach to fashion.,True,gucci,10199,False,False
9,1310549824555556864,2020-09-28 12:00:01,"Authentic and unscripted, an image from #GucciTheRitual feature the new top handle #GucciHorsebit1955 bag and oversize #GucciEyewear. #LizOrd by #LizOrd. Discover more https://t.co/lKZQUlkexp. #AlessandroMichele https://t.co/AdnLmmgvWT",None,None,None,None,None,689,55,TweetDeck,"Florence, Italy","{'hashtags': [{'text': 'GucciTheRitual', 'indices': [40, 55]}, {'text': 'GucciHorsebit1955', 'indices': [83, 101]}, {'text': 'GucciEyewear', 'indices': [119, 132]}, {'text': 'LizOrd', 'indices': [134, 141]}, {'text': 'LizOrd', 'indices': [145, 152]}, {'text': 'AlessandroMichele', 'indices': [193, 211]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/lKZQUlkexp', 'expanded_url': 'http://on.gucci.com/_GucciFW20', 'display_url': 'on.gucci.com/_GucciFW20', 'indices': [168, 191]}], 'media': [{'id': 1310512102587748352, 'id_str': '1310512102587748352', 'indices': [212, 235], 'media_url': 'http://pbs.twimg.com/media/Ei_f0FyX0AAZA9S.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei_f0FyX0AAZA9S.jpg', 'url': 'https://t.co/AdnLmmgvWT', 'display_url': 'pic.twitter.com/AdnLmmgvWT', 'expanded_url': 'https://twitter.com/gucci/status/1310549824555556864/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1638, 'h': 1638, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}}]}",6016387,False,360,False,gucci,False,True,en,Under the creative direction of #AlessandroMichele Gucci is redefined as a luxury brand with a contemporary approach to fashion.,True,gucci,10199,False,False
10,1310247833493221376,2020-09-27 16:00:01,"A gown with tiers of ruffled lace worn—and captured here—by #LiShirui as part of #GucciTheRitual, the #GucciFW20 campaign with creative direction by #AlessandroMichele and art direction by #ChristopherSimmonds. Discover more https://t.co/lKZQUlBPVZ. #AlessandroMichele https://t.co/DqZbvJ4SRS",None,None,None,None,None,364,38,TweetDeck,"Florence, Italy","{'hashtags': [{'text': 'LiShirui', 'indices': [60, 69]}, {'text': 'GucciTheRitual', 'indices': [81, 96]}, {'text': 'GucciFW20', 'indices': [102, 112]}, {'text': 'AlessandroMichele', 'indices': [149, 167]}, {'text': 'ChristopherSimmonds', 'indices': [189, 209]}, {'text': 'AlessandroMichele', 'indices': [250, 268]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/lKZQUlBPVZ', 'expanded_url': 'http://on.gucci.com/_GucciFW20', 'display_url': 'on.gucci.com/_GucciFW20', 'indices': [225, 248]}], 'media': [{'id': 1309552680252116994, 'id_str': '1309552680252116994', 'indices': [269, 292], 'media_url': 'http://pbs.twimg.com/media/Eix3OXEWkAIqyKo.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eix3OXEWkAIqyKo.jpg', 'url': 'https://t.co/DqZbvJ4SRS', 'display_url': 'pic.twitter.com/DqZbvJ4SRS', 'expanded_url': 'https://twitter.com/gucci/status/1310247833493221376/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1638, 'h': 1638, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}}}]}",6016387,False,360,False,gucci,False,True,en,Under the creative direction of #AlessandroMichele Gucci is redefined as a luxury brand with a contemporary approach to fashion.,True,gucci,10199,False,False
