id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1.31142E+18,9/30/2020 21:25,"RT @AlexaZtoA: More money spent on adoration of millionaires... these people pretend they care about women. 

Women, vulnerable ones, won’t…",None,None,None,None,None,0,5,Twitter for iPad,UK,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AlexaZtoA', 'name': 'Ale ???\u200d???? BLM', 'id': 109382113, 'id_str': '109382113', 'indices': [3, 13]}], 'urls': []}",695,FALSE,2041,FALSE,Sarah Faye #HatedbyTrolls,FALSE,FALSE,en,"Chilled out trans woman, won’t debate with the gender critical far-right, Pro-Europe ????! #TransRights #AntiBullying #LGBTQIA #FightRacism #NotCis",FALSE,sarah_faye_,7502,FALSE,TRUE
2,1.31142E+18,9/30/2020 21:20,@Drallasta ?? https://t.co/P9Tv7JD0hT,1.31119E+18,Drallasta,1.31119E+18,977085716,977085716,0,0,Twitter for iPad,UK,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Drallasta', 'name': 'Ellie ?????\u200d??', 'id': 977085716, 'id_str': '977085716', 'indices': [0, 10]}], 'urls': [], 'media': [{'id': 1311415551944724481, 'id_str': '1311415551944724481', 'indices': [13, 36], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EjMVfw6WkAEaXc3.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EjMVfw6WkAEaXc3.jpg', 'url': 'https://t.co/P9Tv7JD0hT', 'display_url': 'pic.twitter.com/P9Tv7JD0hT', 'expanded_url': 'https://twitter.com/sarah_faye_/status/1311415558672388097/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 500, 'h': 280, 'resize': 'fit'}, 'small': {'w': 500, 'h': 280, 'resize': 'fit'}, 'medium': {'w': 500, 'h': 280, 'resize': 'fit'}}}]}",695,FALSE,2041,FALSE,Sarah Faye #HatedbyTrolls,FALSE,FALSE,und,"Chilled out trans woman, won’t debate with the gender critical far-right, Pro-Europe ????! #TransRights #AntiBullying #LGBTQIA #FightRacism #NotCis",FALSE,sarah_faye_,7502,FALSE,FALSE
3,1.31141E+18,9/30/2020 21:14,"@osbornetravel @guyverhofstadt @NathalieLoiseau @vonderleyen @VeraJourova “One day, I wish to be relevant, but for now, I’ll just have to accept the wooden spoon prize every time” https://t.co/hYI2AN7eTh",1.31141E+18,osbornetravel,1.31141E+18,181998783,181998783,0,0,Twitter for iPad,UK,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'osbornetravel', 'name': 'Plains Game', 'id': 181998783, 'id_str': '181998783', 'indices': [0, 14]}, {'screen_name': 'guyverhofstadt', 'name': 'Guy Verhofstadt', 'id': 856010760, 'id_str': '856010760', 'indices': [15, 30]}, {'screen_name': 'NathalieLoiseau', 'name': 'Nathalie Loiseau', 'id': 21694393, 'id_str': '21694393', 'indices': [31, 47]}, {'screen_name': 'vonderleyen', 'name': 'Ursula von der Leyen', 'id': 1146329871418843136, 'id_str': '1146329871418843136', 'indices': [48, 60]}, {'screen_name': 'VeraJourova', 'name': 'V?ra Jourová', 'id': 2786900559, 'id_str': '2786900559', 'indices': [61, 73]}], 'urls': [{'url': 'https://t.co/hYI2AN7eTh', 'expanded_url': 'https://twitter.com/osbornetravel/status/1311413220930998272', 'display_url': 'twitter.com/osbornetravel/…', 'indices': [180, 203]}]}",695,FALSE,2041,FALSE,Sarah Faye #HatedbyTrolls,FALSE,FALSE,en,"Chilled out trans woman, won’t debate with the gender critical far-right, Pro-Europe ????! #TransRights #AntiBullying #LGBTQIA #FightRacism #NotCis",FALSE,sarah_faye_,7502,FALSE,TRUE
4,1.31141E+18,9/30/2020 21:12,@KatyMontgomerie Canada the home of acceptance has a long way to go with indigenous people and especially those who are two spirit. Recently there was a report on racism against indigenous fishing communities there in Nova Scotia.,1.31141E+18,sarah_faye_,1.31141E+18,1.19671E+18,1.19671E+18,0,0,Twitter for iPad,UK,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KatyMontgomerie', 'name': 'Katy Montgomerie ??', 'id': 747043567936352261, 'id_str': '747043567936352261', 'indices': [0, 16]}], 'urls': []}",695,FALSE,2041,FALSE,Sarah Faye #HatedbyTrolls,FALSE,FALSE,en,"Chilled out trans woman, won’t debate with the gender critical far-right, Pro-Europe ????! #TransRights #AntiBullying #LGBTQIA #FightRacism #NotCis",FALSE,sarah_faye_,7502,FALSE,FALSE
5,1.31141E+18,9/30/2020 21:11,"@KatyMontgomerie Even some Canadians are horrifically racist to the indigenous peoples. It’s vile, I have no idea what causes a person to hate someone because they are different to them. It’s so painful and pointless to be that way ??",1.31141E+18,KatyMontgomerie,1.31141E+18,7.47044E+17,7.47044E+17,1,0,Twitter for iPad,UK,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KatyMontgomerie', 'name': 'Katy Montgomerie ??', 'id': 747043567936352261, 'id_str': '747043567936352261', 'indices': [0, 16]}], 'urls': []}",695,FALSE,2041,FALSE,Sarah Faye #HatedbyTrolls,FALSE,FALSE,en,"Chilled out trans woman, won’t debate with the gender critical far-right, Pro-Europe ????! #TransRights #AntiBullying #LGBTQIA #FightRacism #NotCis",FALSE,sarah_faye_,7502,FALSE,FALSE
6,1.31141E+18,9/30/2020 20:55,"@osbornetravel @guyverhofstadt @NathalieLoiseau @vonderleyen @VeraJourova “I wish it was just this, but it’s not. I also enjoy making tin foil hats in my parent’s basement” https://t.co/jurK964nUm",1.31141E+18,osbornetravel,1.31141E+18,181998783,181998783,0,0,Twitter for iPad,UK,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'osbornetravel', 'name': 'Plains Game', 'id': 181998783, 'id_str': '181998783', 'indices': [0, 14]}, {'screen_name': 'guyverhofstadt', 'name': 'Guy Verhofstadt', 'id': 856010760, 'id_str': '856010760', 'indices': [15, 30]}, {'screen_name': 'NathalieLoiseau', 'name': 'Nathalie Loiseau', 'id': 21694393, 'id_str': '21694393', 'indices': [31, 47]}, {'screen_name': 'vonderleyen', 'name': 'Ursula von der Leyen', 'id': 1146329871418843136, 'id_str': '1146329871418843136', 'indices': [48, 60]}, {'screen_name': 'VeraJourova', 'name': 'V?ra Jourová', 'id': 2786900559, 'id_str': '2786900559', 'indices': [61, 73]}], 'urls': [{'url': 'https://t.co/jurK964nUm', 'expanded_url': 'https://twitter.com/osbornetravel/status/1311408539097862146', 'display_url': 'twitter.com/osbornetravel/…', 'indices': [173, 196]}]}",695,FALSE,2041,FALSE,Sarah Faye #HatedbyTrolls,FALSE,FALSE,en,"Chilled out trans woman, won’t debate with the gender critical far-right, Pro-Europe ????! #TransRights #AntiBullying #LGBTQIA #FightRacism #NotCis",FALSE,sarah_faye_,7502,FALSE,TRUE
7,1.31141E+18,9/30/2020 20:41,"Because you lied to everyone about every benefit of leaving the EU and sold it on £350m per week for the NHS, frictionless trade, and fishing rights... 

Boris Johnson, pathetic, pitiful and a useless PM... https://t.co/0E4vxJSOoJ",None,None,None,None,None,1,0,Twitter for iPad,UK,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0E4vxJSOoJ', 'expanded_url': 'https://www.businessinsider.com/brexit-poll-minority-believe-was-right-to-leave-the-eu-2020-9', 'display_url': 'businessinsider.com/brexit-poll-mi…', 'indices': [207, 230]}]}",695,FALSE,2041,FALSE,Sarah Faye #HatedbyTrolls,FALSE,FALSE,en,"Chilled out trans woman, won’t debate with the gender critical far-right, Pro-Europe ????! #TransRights #AntiBullying #LGBTQIA #FightRacism #NotCis",FALSE,sarah_faye_,7502,FALSE,FALSE
8,1.3114E+18,9/30/2020 20:23,@BorisJohnson ... ... ... Dominic Cummings 2.0 https://t.co/pF14svkXt9,None,BorisJohnson,None,3131144855,3131144855,0,0,Twitter for iPad,UK,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BorisJohnson', 'name': 'Boris Johnson', 'id': 3131144855, 'id_str': '3131144855', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/pF14svkXt9', 'expanded_url': 'https://twitter.com/MirrorPolitics/status/1311388072483979264', 'display_url': 'twitter.com/MirrorPolitics…', 'indices': [47, 70]}]}",695,FALSE,2041,FALSE,Sarah Faye #HatedbyTrolls,FALSE,FALSE,en,"Chilled out trans woman, won’t debate with the gender critical far-right, Pro-Europe ????! #TransRights #AntiBullying #LGBTQIA #FightRacism #NotCis",FALSE,sarah_faye_,7502,FALSE,TRUE
9,1.3114E+18,9/30/2020 20:01,"@KatyMontgomerie Cishet person with far-right symbolism in profile says what? ?? 

?? ?? ?? = ??",1.3114E+18,KatyMontgomerie,1.3114E+18,7.47044E+17,7.47044E+17,12,0,Twitter for iPad,UK,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KatyMontgomerie', 'name': 'Katy Montgomerie ??', 'id': 747043567936352261, 'id_str': '747043567936352261', 'indices': [0, 16]}], 'urls': []}",695,FALSE,2041,FALSE,Sarah Faye #HatedbyTrolls,FALSE,FALSE,en,"Chilled out trans woman, won’t debate with the gender critical far-right, Pro-Europe ????! #TransRights #AntiBullying #LGBTQIA #FightRacism #NotCis",FALSE,sarah_faye_,7502,FALSE,FALSE
10,1.3114E+18,9/30/2020 20:01,"@KatyMontgomerie Cishet person with far-right symbolism in profile says what? ?? 

?? ?? ?? = ??",1.3114E+18,KatyMontgomerie,1.3114E+18,7.47044E+17,7.47044E+17,12,0,Twitter for iPad,UK,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KatyMontgomerie', 'name': 'Katy Montgomerie ??', 'id': 747043567936352261, 'id_str': '747043567936352261', 'indices': [0, 16]}], 'urls': []}",695,FALSE,2041,FALSE,Sarah Faye #HatedbyTrolls,FALSE,FALSE,en,"Chilled out trans woman, won’t debate with the gender critical far-right, Pro-Europe ????! #TransRights #AntiBullying #LGBTQIA #FightRacism #NotCis",FALSE,sarah_faye_,7502,FALSE,FALSE
11,1.31137E+18,9/30/2020 18:32,"#PeoplesChoice Icon is awesome and powerful woman JLo, and total trans ally ??! I absolutely adore her ?? ?????? https://t.co/OdZ0fNgcg9",None,None,None,None,None,0,0,Twitter for iPad,UK,"{'hashtags': [{'text': 'PeoplesChoice', 'indices': [0, 14]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/OdZ0fNgcg9', 'expanded_url': 'https://twitter.com/JLo/status/1311369474625413121', 'display_url': 'twitter.com/JLo/status/131…', 'indices': [109, 132]}]}",695,FALSE,2041,FALSE,Sarah Faye #HatedbyTrolls,FALSE,FALSE,en,"Chilled out trans woman, won’t debate with the gender critical far-right, Pro-Europe ????! #TransRights #AntiBullying #LGBTQIA #FightRacism #NotCis",FALSE,sarah_faye_,7502,FALSE,TRUE
12,1.31137E+18,9/30/2020 18:12,"Hi @BorisJohnson I’ve been thinking about why so many people are ignoring Covid19 restrictions and I think I know what it is...

You’re incompetent and you let Dominic Cummings have a jolly to Barnard Castle... and this is ALL on you! https://t.co/bDB5ngiNDl",None,None,None,None,None,1,0,Twitter for iPad,UK,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BorisJohnson', 'name': 'Boris Johnson', 'id': 3131144855, 'id_str': '3131144855', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1311368372785950720, 'id_str': '1311368372785950720', 'indices': [235, 258], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EjLqlk2WsAAeCKX.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EjLqlk2WsAAeCKX.jpg', 'url': 'https://t.co/bDB5ngiNDl', 'display_url': 'pic.twitter.com/bDB5ngiNDl', 'expanded_url': 'https://twitter.com/sarah_faye_/status/1311368384819290112/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 498, 'h': 362, 'resize': 'fit'}, 'medium': {'w': 498, 'h': 362, 'resize': 'fit'}, 'small': {'w': 498, 'h': 362, 'resize': 'fit'}}}]}",695,FALSE,2041,FALSE,Sarah Faye #HatedbyTrolls,FALSE,FALSE,en,"Chilled out trans woman, won’t debate with the gender critical far-right, Pro-Europe ????! #TransRights #AntiBullying #LGBTQIA #FightRacism #NotCis",FALSE,sarah_faye_,7502,FALSE,FALSE
13,1.31136E+18,9/30/2020 17:50,@ChaelaT182 As soon as I popped it into my header I get cranks lecturing me about how it’s a terrorist group... while they ignore their own KKK racist behavioural patterns. They are clueless ??,1.31136E+18,ChaelaT182,1.31136E+18,1.20411E+18,1.20411E+18,1,0,Twitter for iPad,UK,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ChaelaT182', 'name': 'Michaela ?? (tater tot)', 'id': 1204109831067590657, 'id_str': '1204109831067590657', 'indices': [0, 11]}], 'urls': []}",695,FALSE,2041,FALSE,Sarah Faye #HatedbyTrolls,FALSE,FALSE,en,"Chilled out trans woman, won’t debate with the gender critical far-right, Pro-Europe ????! #TransRights #AntiBullying #LGBTQIA #FightRacism #NotCis",FALSE,sarah_faye_,7502,FALSE,FALSE
14,1.31136E+18,9/30/2020 17:45,Nigel Farage... pro-fascism ????? https://t.co/uQ6UH5XBbb,None,None,None,None,None,2,0,Twitter for iPad,UK,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uQ6UH5XBbb', 'expanded_url': 'https://twitter.com/Normanjam67/status/1311284160703725568', 'display_url': 'twitter.com/Normanjam67/st…', 'indices': [33, 56]}]}",695,FALSE,2041,FALSE,Sarah Faye #HatedbyTrolls,FALSE,FALSE,it,"Chilled out trans woman, won’t debate with the gender critical far-right, Pro-Europe ????! #TransRights #AntiBullying #LGBTQIA #FightRacism #NotCis",FALSE,sarah_faye_,7502,FALSE,TRUE
15,1.31136E+18,9/30/2020 17:44,@Chr1stinaG Not snoring is my requirement in a partner... the noise!,1.31125E+18,Chr1stinaG,1.31125E+18,9.36871E+17,9.36871E+17,1,0,Twitter for iPad,UK,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Chr1stinaG', 'name': 'Christina Grimwade', 'id': 936870669664555008, 'id_str': '936870669664555008', 'indices': [0, 11]}], 'urls': []}",695,FALSE,2041,FALSE,Sarah Faye #HatedbyTrolls,FALSE,FALSE,en,"Chilled out trans woman, won’t debate with the gender critical far-right, Pro-Europe ????! #TransRights #AntiBullying #LGBTQIA #FightRacism #NotCis",FALSE,sarah_faye_,7502,FALSE,FALSE
